PostcodeArea,Area covered,Population,Households,Latitude,Longitude
AB,Aberdeen,499692,218798,57.3005,-2.30734
AL,St Albans,249911,99209,51.7756,-0.283739
B,Birmingham,1904293,750842,52.4651,-1.88862
BA,Bath,434539,183530,51.2292,-2.41764
BB,Blackburn,488564,202015,53.7872,-2.33418
BD,Bradford,578374,223952,53.8289,-1.82901
BF,British Forces,,,36.3495,-4.67733
BH,Bournemouth,552110,242907,50.7505,-1.89094
BL,Bolton,379929,159979,53.5868,-2.40793
BN,Brighton,802838,356367,50.8289,-0.119559
BR,Bromley,299157,124954,51.3944,0.0423894
BS,Bristol,940076,398197,51.4489,-2.62238
BT,Northern Ireland,1787720,693967,54.6039,-6.38077
CA,Carlisle,318114,140587,54.732,-3.10786
CB,Cambridge,421151,167640,52.2066,0.189185
CF,Cardiff,1005305,419896,51.5343,-3.29378
CH,Chester,659880,285880,53.2904,-3.0202
CM,Chelmsford,653626,270044,51.7583,0.403688
CO,Colchester,411411,176939,51.9028,0.924424
CR,Croydon,405236,158695,51.356,-0.103359
CT,Canterbury,482627,206290,51.2554,1.23163
CV,Coventry,821033,341504,52.367,-1.50115
CW,Crewe,309487,130803,53.1549,-2.44978
DA,Dartford,430139,173329,51.4422,0.220818
DD,Dundee,280568,128312,56.5368,-2.86456
DE,Derby,730125,306586,52.933,-1.4916
DG,Dumfries and Galloway,151139,67885,55.0227,-3.87996
DH,Durham,309030,132814,54.825,-1.61371
DL,Darlington,360734,156814,54.533,-1.65943
DN,Doncaster,756058,320303,53.5411,-0.720661
DT,Dorchester,212796,93053,50.7545,-2.48281
DY,Dudley,410847,171692,52.4536,-2.17682
E,East London,989043,370613,51.5433,-0.0158065
EC,Central London,33956,17102,51.5188,-0.0967667
EH,Edinburgh,868113,389353,55.9265,-3.22785
EN,Enfield,344780,137907,51.6817,-0.0863934
EX,Exeter,547401,235895,50.8269,-3.65636
FK,Falkirk and Stirling,276371,119790,56.0771,-3.85936
FY,Blackpool,276593,125986,53.8249,-3.02269
G,Glasgow,1183614,540601,55.8688,-4.26814
GL,Gloucester,605458,257602,51.8367,-2.17728
GU,Guildford,726120,288537,51.2315,-0.717526
HA,Harrow,480678,169132,51.5852,-0.336033
HD,Huddersfield,262843,111694,53.6301,-1.78266
HG,Harrogate,138214,59455,54.0371,-1.54604
HP,Hemel Hempstead,488592,195951,51.7244,-0.691256
HR,Hereford,176308,75400,52.0657,-2.72002
HS,Outer Hebrides,27663,12565,57.9793,-6.69369
HU,Hull,443219,191836,53.7682,-0.353837
HX,Halifax,160137,68980,53.7204,-1.89284
IG,Ilford,335693,119754,51.584,0.0718971
IP,Ipswich,595883,252895,52.1951,1.08296
IV,Inverness,228056,98990,57.5864,-4.11772
KA,Kilmarnock,370877,166467,55.5639,-4.60644
KT,Kingston upon Thames,529633,214274,51.3599,-0.343258
KW,Kirkwall,53132,24290,58.6541,-3.28235
KY,Kirkcaldy,363956,160089,56.1624,-3.21271
L,Liverpool,856675,370680,53.4159,-2.96283
LA,Lancaster,328926,143213,54.1711,-2.90451
LD,Llandrindod Wells,50225,22291,52.1285,-3.34121
LE,Leicester,985352,391460,52.6442,-1.14869
LL,Llandudno,537252,232655,53.1333,-3.71585
LN,Lincoln,293141,126372,53.2566,-0.357245
LS,Leeds,774677,330676,53.8227,-1.55286
LU,Luton,336095,129149,51.8965,-0.509728
M,Manchester,1167414,492884,53.4788,-2.27172
ME,Rochester,606891,245786,51.3338,0.584496
MK,Milton Keynes,508035,202926,52.0622,-0.665989
ML,Motherwell,382997,168005,55.7764,-3.94401
N,North London,847197,344938,51.5853,-0.114125
NE,Newcastle upon Tyne,1162976,510229,55.0364,-1.64214
NG,Nottingham,1163617,493228,53.0055,-1.07231
NN,Northampton,653055,272356,52.2888,-0.841005
NP,Newport,488569,206539,51.6729,-3.01589
NR,Norwich,722618,315784,52.6461,1.34009
NW,North West London,553732,222208,51.5549,-0.196899
OL,Oldham,462590,188194,53.5817,-2.12594
OX,Oxford,613492,242551,51.7956,-1.2908
PA,Paisley,321350,148778,56.0696,-4.9108
PE,Peterborough,890470,373108,52.6268,-0.0450096
PH,Perth,165118,73021,56.5621,-3.73356
PL,Plymouth,543016,232152,50.4279,-4.32643
PO,Portsmouth,822540,352453,50.8021,-1.03488
PR,Preston,520366,219388,53.7225,-2.75206
RG,Reading,778419,314408,51.4046,-1.02746
RH,Redhill,531923,217143,51.1101,-0.208314
RM,Romford,517305,205322,51.5469,0.217324
S,Sheffield,1358186,578058,53.3939,-1.41211
SA,Swansea,730075,315791,51.7606,-4.20649
SE,South East London,988126,412444,51.4669,-0.0357682
SG,Stevenage,402479,167182,51.9469,-0.159247
SK,Stockport,603540,260549,53.3713,-2.09839
SL,Slough,373407,144554,51.5153,-0.642168
SM,Sutton,217171,87907,51.3628,-0.184508
SN,Swindon,458798,191252,51.5058,-1.8941
SO,Southampton,665472,276330,50.9297,-1.39187
SP,Salisbury,232282,94658,51.109,-1.77879
SR,Sunderland,250843,109612,54.8766,-1.38946
SS,Southend-on-Sea,518631,216682,51.5622,0.599811
ST,Stoke-on-Trent,644416,275646,52.9777,-2.14642
SW,South West London,877183,382790,51.4641,-0.167496
SY,Shrewsbury,341952,144660,52.6644,-3.04745
TA,Taunton,322408,139414,51.0557,-3.06672
TD,Galashiels,112644,52111,55.6146,-2.5244
TF,Telford,212536,85637,52.713,-2.46187
TN,Tonbridge,681747,286228,51.0853,0.441929
TQ,Torquay,281112,125365,50.459,-3.61614
TR,Truro,294061,127803,50.2111,-5.24354
TS,Cleveland,602320,256341,54.5849,-1.22401
TW,Twickenham,491918,193508,51.4486,-0.39003
UB,Southall,371413,126879,51.5277,-0.417142
W,West London,531690,236493,51.5115,-0.192941
WA,Warrington,616482,261804,53.3905,-2.59128
