Country,Postcode.area
England,AL
England,B
England,BA
England,BB
England,BD
England,BH
England,BL
England,BN
England,BR
England,BS
England,CA
England,CB
England,CH
England,CM
England,CO
England,CR
England,CT
England,CV
England,CW
England,DA
England,DE
England,DG
England,DH
England,DL
England,DN
England,DT
England,DY
England,E
England,EC
England,EN
England,EX
England,FY
England,GIR
England,GL
England,GU
England,HA
England,HD
England,HG
England,HP
England,HR
England,HU
England,HX
England,IG
England,IP
England,KT
England,L
England,LA
England,LD
England,LE
England,LL
England,LN
England,LS
England,LU
England,M
England,ME
England,MK
England,N
England,NE
England,NG
England,NN
England,NP
England,NR
England,NW
England,OL
England,OX
England,PE
England,PL
England,PO
England,PR
England,RG
England,RH
England,RM
England,S
England,SE
England,SG
England,SK
England,SL
England,SM
England,SN
England,SO
England,SP
England,SR
England,SS
England,ST
England,SW
England,SY
England,TA
England,TD
England,TF
England,TN
England,TQ
England,TR
England,TS
England,TW
England,UB
England,W
England,WA
England,WC
England,WD
England,WF
England,WN
England,WR
England,WS
England,WV
England,YO
Scotland,AB
Scotland,DD
Scotland,DG
Scotland,EH
Scotland,FK
Scotland,G
Scotland,HS
Scotland,IV
Scotland,KA
Scotland,KW
Scotland,KY
Scotland,ML
Scotland,PA
Scotland,PH
Scotland,TD
Scotland,ZE
Wales,CF
Wales,CH
Wales,GL
Wales,HR
Wales,LD
Wales,LL
Wales,NP
Wales,SA
Wales,SY
Northern Ireland,BT
