"","PostcodeArea","date","ni","wkday","week","Area.covered","Population","Households","Latitude","Longitude"
"1","AL",2021-01-18,1,"Mon",3,"St Albans",249911,99209,51.7756,-0.283739
"2","AL",2021-01-21,1,"Thu",3,"St Albans",249911,99209,51.7756,-0.283739
"3","B",2021-01-26,1,"Tue",4,"Birmingham",1904293,750842,52.4651,-1.88862
"4","B",2021-01-11,2,"Mon",2,"Birmingham",1904293,750842,52.4651,-1.88862
"5","B",2021-01-25,1,"Mon",4,"Birmingham",1904293,750842,52.4651,-1.88862
"6","B",2021-01-18,1,"Mon",3,"Birmingham",1904293,750842,52.4651,-1.88862
"7","B",2021-01-19,1,"Tue",3,"Birmingham",1904293,750842,52.4651,-1.88862
"8","B",2021-01-14,2,"Thu",2,"Birmingham",1904293,750842,52.4651,-1.88862
"9","B",2021-01-05,2,"Tue",1,"Birmingham",1904293,750842,52.4651,-1.88862
"10","B",2021-01-06,1,"Wed",1,"Birmingham",1904293,750842,52.4651,-1.88862
"11","B",2021-01-04,2,"Mon",1,"Birmingham",1904293,750842,52.4651,-1.88862
"12","BA",2021-01-20,1,"Wed",3,"Bath",434539,183530,51.2292,-2.41764
"13","BA",2021-01-25,1,"Mon",4,"Bath",434539,183530,51.2292,-2.41764
"14","BA",2021-01-27,1,"Wed",4,"Bath",434539,183530,51.2292,-2.41764
"15","BB",2021-01-12,1,"Tue",2,"Blackburn",488564,202015,53.7872,-2.33418
"16","BB",2021-01-28,1,"Thu",4,"Blackburn",488564,202015,53.7872,-2.33418
"17","BB",2021-01-18,1,"Mon",3,"Blackburn",488564,202015,53.7872,-2.33418
"18","BD",2021-01-12,1,"Tue",2,"Bradford",578374,223952,53.8289,-1.82901
"19","BD",2021-01-11,1,"Mon",2,"Bradford",578374,223952,53.8289,-1.82901
"20","BD",2021-01-04,1,"Mon",1,"Bradford",578374,223952,53.8289,-1.82901
"21","BH",2021-01-26,1,"Tue",4,"Bournemouth",552110,242907,50.7505,-1.89094
