"","date","ni","Sector","wkday","week"
"1",2021-01-01,0,NA,NA,NA
"2",2021-01-02,0,NA,NA,NA
"3",2021-01-03,0,NA,NA,NA
"4",2021-01-04,10," C","Mon",1
"5",2021-01-04,6," E","Mon",1
"6",2021-01-04,80," F","Mon",1
"7",2021-01-04,374," G","Mon",1
"8",2021-01-04,24," H","Mon",1
"9",2021-01-04,27," I","Mon",1
"10",2021-01-04,28," L","Mon",1
"11",2021-01-04,16," M","Mon",1
"12",2021-01-04,39," N","Mon",1
"13",2021-01-04,39," P","Mon",1
"14",2021-01-04,21," Q","Mon",1
"15",2021-01-04,8," R","Mon",1
"16",2021-01-04,15," S","Mon",1
"17",2021-01-04,2," T","Mon",1
"18",2021-01-04,6,"J","Mon",1
"19",2021-01-05,6," E","Tue",1
"20",2021-01-05,53," F","Tue",1
"21",2021-01-05,256," G","Tue",1
"22",2021-01-05,9," I","Tue",1
"23",2021-01-05,54," K","Tue",1
"24",2021-01-05,14," L","Tue",1
"25",2021-01-05,32," M","Tue",1
"26",2021-01-05,16," N","Tue",1
"27",2021-01-05,4," Q","Tue",1
"28",2021-01-05,12," R","Tue",1
"29",2021-01-05,5," S","Tue",1
"30",2021-01-05,17,"J","Tue",1
"31",2021-01-06,76," F","Wed",1
"32",2021-01-06,362," G","Wed",1
"33",2021-01-06,30," H","Wed",1
"34",2021-01-06,18," I","Wed",1
"35",2021-01-06,27," K","Wed",1
"36",2021-01-06,21," L","Wed",1
"37",2021-01-06,11," M","Wed",1
"38",2021-01-06,33," N","Wed",1
"39",2021-01-06,14," Q","Wed",1
"40",2021-01-06,16," R","Wed",1
"41",2021-01-06,5," S","Wed",1
"42",2021-01-06,22,"J","Wed",1
"43",2021-01-07,29," F","Thu",1
"44",2021-01-07,250," G","Thu",1
"45",2021-01-07,10," H","Thu",1
"46",2021-01-07,7," I","Thu",1
"47",2021-01-07,7," K","Thu",1
"48",2021-01-07,7," L","Thu",1
"49",2021-01-07,5," M","Thu",1
"50",2021-01-07,11," N","Thu",1
"51",2021-01-07,10," Q","Thu",1
"52",2021-01-07,4," R","Thu",1
"53",2021-01-07,10," S","Thu",1
"54",2021-01-07,1," U","Thu",1
"55",2021-01-07,17,"J","Thu",1
"56",2021-01-08,10," C","Fri",2
"57",2021-01-08,24," F","Fri",2
"58",2021-01-08,364," G","Fri",2
"59",2021-01-08,10," H","Fri",2
"60",2021-01-08,18," I","Fri",2
"61",2021-01-08,27," K","Fri",2
"62",2021-01-08,7," L","Fri",2
"63",2021-01-08,21," M","Fri",2
"64",2021-01-08,21," N","Fri",2
"65",2021-01-08,9," O","Fri",2
"66",2021-01-08,7," Q","Fri",2
"67",2021-01-08,10," S","Fri",2
"68",2021-01-08,1," U","Fri",2
"69",2021-01-08,17,"J","Fri",2
"70",2021-01-09,0,NA,NA,NA
"71",2021-01-10,0,NA,NA,NA
"72",2021-01-11,2," B","Mon",2
"73",2021-01-11,11," C","Mon",2
"74",2021-01-11,17," F","Mon",2
"75",2021-01-11,366," G","Mon",2
"76",2021-01-11,10," H","Mon",2
"77",2021-01-11,34," I","Mon",2
"78",2021-01-11,21," L","Mon",2
"79",2021-01-11,37," M","Mon",2
"80",2021-01-11,8," Q","Mon",2
"81",2021-01-11,8," R","Mon",2
"82",2021-01-11,5," S","Mon",2
"83",2021-01-11,1," U","Mon",2
"84",2021-01-11,29,"J","Mon",2
"85",2021-01-12,12," C","Tue",2
"86",2021-01-12,34," F","Tue",2
"87",2021-01-12,406," G","Tue",2
"88",2021-01-12,10," H","Tue",2
"89",2021-01-12,18," I","Tue",2
"90",2021-01-12,34," K","Tue",2
"91",2021-01-12,21," L","Tue",2
"92",2021-01-12,22," M","Tue",2
"93",2021-01-12,14," Q","Tue",2
"94",2021-01-12,10," S","Tue",2
"95",2021-01-13,17," C","Wed",2
"96",2021-01-13,51," F","Wed",2
"97",2021-01-13,458," G","Wed",2
"98",2021-01-13,10," H","Wed",2
"99",2021-01-13,27," K","Wed",2
"100",2021-01-13,7," L","Wed",2
"101",2021-01-13,13," M","Wed",2
"102",2021-01-13,32," N","Wed",2
"103",2021-01-13,14," Q","Wed",2
"104",2021-01-13,4," R","Wed",2
"105",2021-01-13,15," S","Wed",2
"106",2021-01-13,1," U","Wed",2
"107",2021-01-13,6,"J","Wed",2
"108",2021-01-14,11," C","Thu",2
"109",2021-01-14,51," F","Thu",2
"110",2021-01-14,100," G","Thu",2
"111",2021-01-14,32," H","Thu",2
"112",2021-01-14,27," I","Thu",2
"113",2021-01-14,7," L","Thu",2
"114",2021-01-14,29," M","Thu",2
"115",2021-01-14,13," P","Thu",2
"116",2021-01-14,5," S","Thu",2
"117",2021-01-14,2," T","Thu",2
"118",2021-01-14,1," U","Thu",2
"119",2021-01-14,17,"J","Thu",2
"120",2021-01-15,2," B","Fri",3
"121",2021-01-15,11," C","Fri",3
"122",2021-01-15,4," F","Fri",3
"123",2021-01-15,364," G","Fri",3
"124",2021-01-15,10," H","Fri",3
"125",2021-01-15,18," I","Fri",3
"126",2021-01-15,27," K","Fri",3
"127",2021-01-15,14," L","Fri",3
"128",2021-01-15,26," M","Fri",3
"129",2021-01-15,13," P","Fri",3
"130",2021-01-15,10," S","Fri",3
"131",2021-01-15,1," U","Fri",3
"132",2021-01-15,6,"J","Fri",3
"133",2021-01-16,0,NA,NA,NA
"134",2021-01-17,0,NA,NA,NA
"135",2021-01-18,36," C","Mon",3
"136",2021-01-18,32," F","Mon",3
"137",2021-01-18,428," G","Mon",3
"138",2021-01-18,20," H","Mon",3
"139",2021-01-18,9," I","Mon",3
"140",2021-01-18,27," K","Mon",3
"141",2021-01-18,21," L","Mon",3
"142",2021-01-18,46," M","Mon",3
"143",2021-01-18,56," N","Mon",3
"144",2021-01-18,13," P","Mon",3
"145",2021-01-18,17," Q","Mon",3
"146",2021-01-18,4," R","Mon",3
"147",2021-01-18,10," S","Mon",3
"148",2021-01-18,2,"J","Mon",3
"149",2021-01-19,38," F","Tue",3
"150",2021-01-19,158," G","Tue",3
"151",2021-01-19,10," H","Tue",3
"152",2021-01-19,36," I","Tue",3
"153",2021-01-19,108," K","Tue",3
"154",2021-01-19,21," L","Tue",3
"155",2021-01-19,30," M","Tue",3
"156",2021-01-19,5," N","Tue",3
"157",2021-01-19,4," Q","Tue",3
"158",2021-01-19,10," S","Tue",3
"159",2021-01-19,2," T","Tue",3
"160",2021-01-19,26,"J","Tue",3
"161",2021-01-20,34," C","Wed",3
"162",2021-01-20,76," F","Wed",3
"163",2021-01-20,150," G","Wed",3
"164",2021-01-20,30," H","Wed",3
"165",2021-01-20,27," I","Wed",3
"166",2021-01-20,27," K","Wed",3
"167",2021-01-20,21," L","Wed",3
"168",2021-01-20,15," M","Wed",3
"169",2021-01-20,29," N","Wed",3
"170",2021-01-20,13," P","Wed",3
"171",2021-01-20,14," Q","Wed",3
"172",2021-01-20,13," R","Wed",3
"173",2021-01-20,31," S","Wed",3
"174",2021-01-20,2," U","Wed",3
