CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13142346,NW3 4LT,Private Limited Company,Active,United Kingdom,NA,2021-01-18,70221 - Financial management,,,
13118967,BN5 9SL,Private Limited Company,Active,United Kingdom,NA,2021-01-07,20411 - Manufacture of soap and detergents,32990 - Other manufacturing n.e.c.,90030 - Artistic creation,
13140146,ME20 6JF,Private Limited Company,Active,United Kingdom,NA,2021-01-18,70229 - Management consultancy activities other than financial management,71122 - Engineering related scientific and technical consulting activities,74901 - Environmental consulting activities,
13136406,HA3 6TH,Private Limited Company,Active,United Kingdom,NA,2021-01-15,80100 - Private security activities,81222 - Specialised cleaning services,,
13135605,N17 9QU,Private Limited Company,Active,United Kingdom,NA,2021-01-15,85590 - Other education n.e.c.,,,
13147478,HR5 3DJ,Private Limited Company,Active,United Kingdom,NA,2021-01-20,47910 - Retail sale via mail order houses or via Internet,,,
SC686099,G40 3TB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,NA,2021-01-15,41202 - Construction of domestic buildings,,,
13166823,SW16 1HA,Private Limited Company,Active,United Kingdom,NA,2021-01-29,74100 - specialised design activities,,,
13140404,LE4 3DG,Private Limited Company,Active,United Kingdom,NA,2021-01-18,47710 - Retail sale of clothing in specialised stores,,,
13158878,KT21 2PU,Private Limited Company,Active,United Kingdom,NA,2021-01-26,68209 - Other letting and operating of own or leased real estate,98000 - Residents property management,,
13131318,SS8 9DE,Private Limited Company,Active,United Kingdom,NA,2021-01-13,35130 - Distribution of electricity,,,
13111324,PR3 1NJ,Private Limited Company,Active,United Kingdom,NA,2021-01-04,62090 - Other information technology service activities,,,
13163398,EX23 0HR,Private Limited Company,Active,United Kingdom,NA,2021-01-27,"74909 - Other professional, scientific and technical activities n.e.c.",,,
13154741,DH5 0EU,Private Limited Company,Active,United Kingdom,NA,2021-01-25,43210 - Electrical installation,,,
13155346,NW1 8BS,Private Limited Company,Active,United Kingdom,NA,2021-01-25,47190 - Other retail sale in non-specialised stores,,,
13162912,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47910 - Retail sale via mail order houses or via Internet,,,
13123573,NE22 6BR,Private Limited Company,Active,United Kingdom,NA,2021-01-08,43999 - Other specialised construction activities n.e.c.,,,
SC685398,KA8 0LT,Private Limited Company,Active,United Kingdom,NA,2021-01-08,43341 - Painting,,,
13140868,L40 7AF,Private Limited Company,Active,United Kingdom,NA,2021-01-18,87900 - Other residential care activities n.e.c.,,,
SL034777,EH3 9WJ,Limited Partnership,Active,United Kingdom,NA,2021-01-25,None Supplied,,,
13129983,N12 0DR,Private Limited Company,Active,United Kingdom,NA,2021-01-13,99999 - Dormant Company,,,
13153483,SS11 8BB,Private Limited Company,Active,United Kingdom,NA,2021-01-25,42990 - Construction of other civil engineering projects n.e.c.,,,
13109732,M20 2PG,Private Limited Company,Active,United Kingdom,NA,2021-01-04,56103 - Take-away food shops and mobile food stands,,,
13118265,LE4 9LJ,Private Limited Company,Active,United Kingdom,NA,2021-01-06,86230 - Dental practice activities,,,
13143348,S4 8HL,Private Limited Company,Active,United Kingdom,NA,2021-01-19,88910 - Child day-care activities,,,
13131001,S72 8BE,Private Limited Company,Active,United Kingdom,NA,2021-01-13,81221 - Window cleaning services,,,
13145040,M25 1HL,Private Limited Company,Active,United Kingdom,NA,2021-01-19,"47990 - Other retail sale not in stores, stalls or markets",85510 - Sports and recreation education,,
13145499,SW19 2HN,Private Limited Company,Active,United Kingdom,NA,2021-01-20,46190 - Agents involved in the sale of a variety of goods,96020 - Hairdressing and other beauty treatment,,
