CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13108818,DN35 9AG,Private Limited Company,Active,United Kingdom,NA,2021-01-04,96090 - Other service activities n.e.c.,,,
13148887,KT6 7HF,Private Limited Company,Active,United Kingdom,NA,2021-01-21,41202 - Construction of domestic buildings,43390 - Other building completion and finishing,,
13161661,EC1V 2NX,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47710 - Retail sale of clothing in specialised stores,,,
13143177,TW11 0QB,Private Limited Company,Active,United Kingdom,NA,2021-01-19,41100 - Development of building projects,,,
13159064,SS2 4HU,Private Limited Company,Active,United Kingdom,NA,2021-01-26,68320 - Management of real estate on a fee or contract basis,,,
13160805,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-27,41100 - Development of building projects,41202 - Construction of domestic buildings,98000 - Residents property management,
13160636,BA4 5AS,Private Limited Company,Active,United Kingdom,NA,2021-01-27,98000 - Residents property management,,,
13148563,GU32 1JS,Private Limited Company,Active,United Kingdom,NA,2021-01-21,82990 - Other business support service activities n.e.c.,,,
13116104,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-06,"46370 - Wholesale of coffee, tea, cocoa and spices",46460 - Wholesale of pharmaceutical goods,46720 - Wholesale of metals and metal ores,"46730 - Wholesale of wood, construction materials and sanitary equipment"
13156908,LU1 5FJ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,20160 - Manufacture of plastics in primary forms,,,
13126516,W4 4LE,Private Limited Company,Active,United Kingdom,NA,2021-01-11,"47990 - Other retail sale not in stores, stalls or markets",,,
13145309,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-20,62012 - Business and domestic software development,,,
13163790,BB7 9YE,Private Limited Company,Active,United Kingdom,NA,2021-01-28,46420 - Wholesale of clothing and footwear,,,
13117074,WC1N 3AX,Private Limited Company,Active,United Kingdom,NA,2021-01-06,82990 - Other business support service activities n.e.c.,,,
13143101,YO265LS,Private Limited Company,Active,United Kingdom,NA,2021-01-19,68209 - Other letting and operating of own or leased real estate,,,
